Respondent ID,Timestamp,Age Group,Gender,Region,Question,Preferred Tool,Satisfaction (1-5),Feedback
R0001,2025-02-01 08:07:36,18-24,Male,East,Which data tool do you prefer for analytics tasks?,Python,2,Python is flexible and powerful
R0002,2025-01-12 21:29:57,18-24,Other,Central,Which data tool do you prefer for analytics tasks?,Python,4,Great for automation and analysis
R0003,2025-01-28 08:28:15,18-24,Male,North,Which data tool do you prefer for analytics tasks?,Python,4,Best for data science projects
R0004,2025-01-26 23:39:41,55+,Male,Central,Which data tool do you prefer for analytics tasks?,Power BI,4,Interactive visuals are helpful
R0005,2025-02-27 21:27:16,55+,Female,South,Which data tool do you prefer for analytics tasks?,Python,3,Great for automation and analysis
R0006,2025-02-13 10:07:01,18-24,Male,West,Which data tool do you prefer for analytics tasks?,Python,3,Python is flexible and powerful
R0007,2025-01-12 13:49:57,25-34,Female,North,Which data tool do you prefer for analytics tasks?,Python,1,Python is flexible and powerful
R0008,2025-02-03 01:34:55,35-44,Female,Central,Which data tool do you prefer for analytics tasks?,Python,4,Best for data science projects
R0009,2025-04-29 13:46:55,45-54,Other,North,Which data tool do you prefer for analytics tasks?,Power BI,3,Strong dashboard experience
R0010,2025-04-24 13:10:00,55+,Female,Central,Which data tool do you prefer for analytics tasks?,Excel,3,Great for day to day analysis
R0011,2025-01-06 08:17:51,25-34,Other,North,Which data tool do you prefer for analytics tasks?,Excel,3,Useful for beginners
R0012,2025-02-18 10:07:14,18-24,Male,North,Which data tool do you prefer for analytics tasks?,Excel,4,Useful for beginners
R0013,2025-02-15 07:37:40,35-44,Male,East,Which data tool do you prefer for analytics tasks?,Power BI,4,Interactive visuals are helpful
R0014,2025-03-19 23:07:07,35-44,Other,North,Which data tool do you prefer for analytics tasks?,Python,3,Python is flexible and powerful
R0015,2025-01-21 16:49:49,55+,Other,South,Which data tool do you prefer for analytics tasks?,Python,3,Great for automation and analysis
R0016,2025-01-29 11:48:24,35-44,Other,Central,Which data tool do you prefer for analytics tasks?,Python,4,Python is flexible and powerful
R0017,2025-02-21 09:44:53,25-34,Male,East,Which data tool do you prefer for analytics tasks?,Power BI,3,Strong dashboard experience
R0018,2025-01-28 23:51:49,25-34,Other,East,Which data tool do you prefer for analytics tasks?,Excel,3,Useful for beginners
R0019,2025-01-19 09:38:38,45-54,Other,West,Which data tool do you prefer for analytics tasks?,Python,3,Python is flexible and powerful
R0020,2025-03-10 09:33:58,25-34,Other,Central,Which data tool do you prefer for analytics tasks?,Power BI,4,Interactive visuals are helpful
R0021,2025-02-21 13:10:47,55+,Female,Central,Which data tool do you prefer for analytics tasks?,Excel,5,Easy for quick reports
R0022,2025-01-12 01:42:55,25-34,Other,West,Which data tool do you prefer for analytics tasks?,Python,5,Python is flexible and powerful
R0023,2025-04-12 15:22:13,25-34,Other,South,Which data tool do you prefer for analytics tasks?,R,4,Useful for academic work
R0024,2025-03-18 17:02:28,18-24,Female,West,Which data tool do you prefer for analytics tasks?,R,4,Useful for academic work
R0025,2025-03-29 04:10:14,35-44,Other,North,Which data tool do you prefer for analytics tasks?,Python,3,Best for data science projects
R0026,2025-01-15 10:41:09,55+,Female,East,Which data tool do you prefer for analytics tasks?,Python,2,Great for automation and analysis
R0027,2025-04-03 09:35:22,25-34,Female,North,Which data tool do you prefer for analytics tasks?,Tableau,2,Fast for interactive charts
R0028,2025-04-22 22:45:59,25-34,Other,North,Which data tool do you prefer for analytics tasks?,Power BI,3,Useful for business reporting
R0029,2025-01-20 13:36:49,55+,Other,South,Which data tool do you prefer for analytics tasks?,Python,4,Python is flexible and powerful
R0030,2025-03-18 11:48:07,55+,Other,North,Which data tool do you prefer for analytics tasks?,Tableau,4,Beautiful dashboards
R0031,2025-04-23 11:11:46,18-24,Male,East,Which data tool do you prefer for analytics tasks?,Tableau,3,Very good for storytelling
R0032,2025-01-11 03:07:06,18-24,Male,Central,Which data tool do you prefer for analytics tasks?,Python,3,Best for data science projects
R0033,2025-04-09 04:34:43,45-54,Male,Central,Which data tool do you prefer for analytics tasks?,Tableau,2,Very good for storytelling
R0034,2025-02-03 19:12:43,45-54,Other,South,Which data tool do you prefer for analytics tasks?,Python,4,Best for data science projects
R0035,2025-04-07 07:19:25,45-54,Male,Central,Which data tool do you prefer for analytics tasks?,Excel,5,Great for day to day analysis
R0036,2025-02-26 18:50:39,35-44,Female,East,Which data tool do you prefer for analytics tasks?,Power BI,3,Useful for business reporting
R0037,2025-01-09 12:18:33,18-24,Male,South,Which data tool do you prefer for analytics tasks?,Tableau,3,Very good for storytelling
R0038,2025-03-17 08:01:04,55+,Other,South,Which data tool do you prefer for analytics tasks?,Power BI,3,Strong dashboard experience
R0039,2025-01-30 02:27:14,18-24,Other,North,Which data tool do you prefer for analytics tasks?,Tableau,5,Very good for storytelling
R0040,2025-01-31 10:08:20,35-44,Male,Central,Which data tool do you prefer for analytics tasks?,Excel,4,Great for day to day analysis
R0041,2025-01-17 20:47:27,45-54,Male,Central,Which data tool do you prefer for analytics tasks?,Excel,3,Great for day to day analysis
R0042,2025-04-14 14:49:14,45-54,Male,West,Which data tool do you prefer for analytics tasks?,Python,3,Python is flexible and powerful
R0043,2025-02-15 15:25:19,18-24,Male,West,Which data tool do you prefer for analytics tasks?,Python,2,Great for automation and analysis
R0044,2025-03-28 23:47:29,45-54,Other,North,Which data tool do you prefer for analytics tasks?,Excel,4,Great for day to day analysis
R0045,2025-04-04 12:21:13,18-24,Male,West,Which data tool do you prefer for analytics tasks?,R,3,Good for statistics
R0046,2025-03-10 16:20:00,25-34,Male,South,Which data tool do you prefer for analytics tasks?,Tableau,2,Very good for storytelling
R0047,2025-03-01 09:05:42,45-54,Male,East,Which data tool do you prefer for analytics tasks?,Python,3,Python is flexible and powerful
R0048,2025-01-07 23:44:37,45-54,Other,North,Which data tool do you prefer for analytics tasks?,Python,3,Best for data science projects
R0049,2025-01-22 14:47:49,18-24,Male,South,Which data tool do you prefer for analytics tasks?,R,4,Helpful for research analysis
R0050,2025-04-26 02:08:05,45-54,Male,West,Which data tool do you prefer for analytics tasks?,Tableau,5,Very good for storytelling
R0051,2025-02-03 16:33:58,45-54,Male,West,Which data tool do you prefer for analytics tasks?,Tableau,5,Beautiful dashboards
R0052,2025-03-26 17:43:08,45-54,Other,Central,Which data tool do you prefer for analytics tasks?,R,4,Good for statistics
R0053,2025-01-08 21:05:14,25-34,Female,South,Which data tool do you prefer for analytics tasks?,Python,3,Best for data science projects
R0054,2025-01-08 01:49:32,55+,Male,East,Which data tool do you prefer for analytics tasks?,Excel,3,Great for day to day analysis
R0055,2025-01-21 02:04:15,45-54,Other,Central,Which data tool do you prefer for analytics tasks?,Tableau,1,Fast for interactive charts
R0056,2025-03-18 02:28:27,18-24,Male,North,Which data tool do you prefer for analytics tasks?,Python,4,Best for data science projects
R0057,2025-04-24 20:44:28,25-34,Female,North,Which data tool do you prefer for analytics tasks?,Python,4,Python is flexible and powerful
R0058,2025-03-21 02:59:05,55+,Other,North,Which data tool do you prefer for analytics tasks?,Excel,3,Useful for beginners
R0059,2025-02-10 09:29:39,55+,Other,Central,Which data tool do you prefer for analytics tasks?,Excel,3,Easy for quick reports
R0060,2025-02-20 04:45:54,35-44,Male,East,Which data tool do you prefer for analytics tasks?,R,5,Useful for academic work
